Model,Activation,Optimizer,SeqLen,GradClip,Epoch,Loss,Accuracy,F1,EpochTime(s),TotalTime(s)
BILSTM,relu,sgd,50,No,2,0.6931,0.5257,0.525,32.93,165.69
BILSTM,relu,sgd,50,No,3,0.6926,0.5187,0.4581,33.24,165.69
BILSTM,relu,sgd,50,No,4,0.6914,0.5275,0.4984,33.08,165.69
BILSTM,relu,sgd,50,No,5,0.6907,0.5261,0.474,33.29,165.69
BILSTM,relu,sgd,50,Yes,1,0.6934,0.5094,0.5033,34.29,171.14
BILSTM,relu,sgd,50,Yes,2,0.6931,0.5086,0.3989,34.25,171.14
BILSTM,relu,sgd,50,Yes,3,0.6926,0.525,0.5227,34.3,171.14
BILSTM,relu,sgd,50,Yes,4,0.6918,0.522,0.4784,34.19,171.14
BILSTM,relu,sgd,50,Yes,5,0.6906,0.5352,0.5299,34.11,171.14
BILSTM,relu,sgd,100,No,1,0.6933,0.5105,0.4273,68.75,340.86
BILSTM,relu,sgd,100,No,2,0.6926,0.5181,0.4955,68.52,340.86
BILSTM,relu,sgd,100,No,3,0.6925,0.5252,0.487,68.46,340.86
BILSTM,relu,sgd,100,No,4,0.692,0.5277,0.5272,68.52,340.86
BILSTM,relu,sgd,100,No,5,0.6911,0.5306,0.5305,66.6,340.86
BILSTM,relu,sgd,100,Yes,1,0.6932,0.5138,0.4779,68.73,343.76
BILSTM,relu,sgd,100,Yes,2,0.6928,0.5248,0.5229,68.75,343.76
BILSTM,relu,sgd,100,Yes,3,0.6918,0.5178,0.4736,68.78,343.76
BILSTM,relu,sgd,100,Yes,4,0.6913,0.5286,0.5155,68.8,343.76
BILSTM,relu,sgd,100,Yes,5,0.6908,0.5344,0.5323,68.7,343.76
BILSTM,relu,rmsprop,25,No,1,0.6498,0.6683,0.6652,18.19,90.52
BILSTM,relu,rmsprop,25,No,2,0.563,0.6812,0.6756,18.03,90.52
BILSTM,relu,rmsprop,25,No,3,0.5002,0.6872,0.6765,18.06,90.52
BILSTM,relu,rmsprop,25,No,4,0.4454,0.716,0.7152,18.1,90.52
BILSTM,relu,rmsprop,25,No,5,0.3882,0.7167,0.7167,18.14,90.52
BILSTM,relu,rmsprop,25,Yes,1,0.6503,0.6669,0.6648,18.5,91.73
BILSTM,relu,rmsprop,25,Yes,2,0.5586,0.6998,0.6981,18.19,91.73
BILSTM,relu,rmsprop,25,Yes,3,0.4973,0.7012,0.695,18.38,91.73
BILSTM,relu,rmsprop,25,Yes,4,0.4395,0.7194,0.7192,18.27,91.73
BILSTM,relu,rmsprop,25,Yes,5,0.3825,0.7212,0.7203,18.4,91.73
BILSTM,relu,rmsprop,50,No,1,0.664,0.6633,0.6526,34.96,174.63
BILSTM,relu,rmsprop,50,No,2,0.5941,0.7094,0.7089,34.86,174.63
BILSTM,relu,rmsprop,50,No,3,0.5146,0.7134,0.7081,34.89,174.63
BILSTM,relu,rmsprop,50,No,4,0.4506,0.7551,0.7542,34.95,174.63
BILSTM,relu,rmsprop,50,No,5,0.3979,0.7593,0.758,34.98,174.63
BILSTM,relu,rmsprop,50,Yes,1,0.6543,0.688,0.6879,34.99,174.34
BILSTM,relu,rmsprop,50,Yes,2,0.5601,0.7129,0.7069,35.07,174.34
BILSTM,relu,rmsprop,50,Yes,3,0.4867,0.7486,0.7483,34.67,174.34
BILSTM,relu,rmsprop,50,Yes,4,0.4268,0.7388,0.7367,34.73,174.34
BILSTM,relu,rmsprop,50,Yes,5,0.3715,0.7662,0.7661,34.88,174.34
BILSTM,relu,rmsprop,100,No,1,0.6726,0.6877,0.6867,69.21,345.92
BILSTM,relu,rmsprop,100,No,2,0.5931,0.7178,0.7153,69.05,345.92
BILSTM,relu,rmsprop,100,No,3,0.5177,0.7669,0.7664,69.22,345.92
BILSTM,relu,rmsprop,100,No,4,0.4534,0.7816,0.7814,69.16,345.92
BILSTM,relu,rmsprop,100,No,5,0.3986,0.6998,0.6761,69.27,345.92
BILSTM,relu,rmsprop,100,Yes,1,0.6879,0.5965,0.5893,69.4,342.28
BILSTM,relu,rmsprop,100,Yes,2,0.6238,0.6958,0.6906,66.67,342.28
BILSTM,relu,rmsprop,100,Yes,3,0.5256,0.763,0.763,66.72,342.28
BILSTM,relu,rmsprop,100,Yes,4,0.4427,0.7886,0.7873,69.5,342.28
BILSTM,relu,rmsprop,100,Yes,5,0.3791,0.803,0.8029,69.99,342.28
